garment_name,price,url
Boys Double Fabric Romper & T-Shirt (Newborn-23mths),£6.00,https://www.matalan.co.uk/product/detail/s2821308_c128/boys-double-fabric-romper-t-shirt-newborn-23mths-blue
Girls Rainbow Pom Pom T-Shirt (Newborn-23mths),£3.00,https://www.matalan.co.uk/product/detail/s2816348_c323/girls-rainbow-pom-pom-t-shirt-newborn-23mths-pink
Boys Always Happy Safari T-Shirt (Newborn-23mths),£3.00,https://www.matalan.co.uk/product/detail/s2819816_c356/boys-always-happy-safari-t-shirt-newborn-23mths-ivory
Unisex 5 Pack Star & Stripe Socks (Newborn-12mths),£4.00,https://www.matalan.co.uk/product/detail/s2822138_c47q/unisex-5-pack-star-stripe-socks-newborn-12mths-multi
3 Pack Sailor Bibs,£4.00,https://www.matalan.co.uk/product/detail/s2810806_c128/3-pack-sailor-bibs-blue
Unisex Stripe Collar Romper (Tiny Baby-23mths),£7.00,https://www.matalan.co.uk/product/detail/s2829454_c128/unisex-stripe-collar-romper-tiny-baby-23mths-blue
Girls Organic Cotton Knitted Dress (Tiny Baby-23mths),£10.00,https://www.matalan.co.uk/product/detail/s2802862_c523/girls-organic-cotton-knitted-dress-tiny-baby-23mths-cream
Unisex Panda Top & Leggings Set (Newborn-23mths),£6.50,https://www.matalan.co.uk/product/detail/s2835298_c228/unisex-panda-top-leggings-set-newborn-23mths-grey
Girls Stripe Sundress & Headband (Newborn-23mths),£6.00,https://www.matalan.co.uk/product/detail/s2812258_c270/girls-stripe-sundress-headband-newborn-23mths-navy
Boys 4 Pack Nautical Socks (Newborn-12mths),£4.00,https://www.matalan.co.uk/product/detail/s2822123_c47q/boys-4-pack-nautical-socks-newborn-12mths-multi
Girls 4 Pack Cable Socks (Newborn-12mths),£3.00,https://www.matalan.co.uk/product/detail/s2822029_c323/girls-4-pack-cable-socks-newborn-12mths-multi
Girls 3 Pack Cami Bodysuits (Tiny Baby-23mths),£6.00,https://www.matalan.co.uk/product/detail/s2811397_c323/girls-3-pack-cami-bodysuits-newborn-23mths-pink
Unicorn Comforter (One Size),£4.00,https://www.matalan.co.uk/product/detail/s2813769_c323/unicorn-comforter-one-size-pink
Boys 5 Pack Socks (Newborn-12mths),£4.00,https://www.matalan.co.uk/product/detail/s2822139_c128/boys-5-pack-socks-newborn-12mths-blue
Girls 4 Pack Flower Socks (Newborn-12mths),£4.00,https://www.matalan.co.uk/product/detail/s2822065_c323/girls-4-pack-flower-socks-newborn-12mths-pink
Unisex 3 Pack Panda T-Shirts (Newborn-23mths),£6.00,https://www.matalan.co.uk/product/detail/s2835301_cd75/unisex-3-pack-panda-t-shirts-newborn-23mths-multi
Unisex Elephant Collar Baby Grow (Tiny Baby-12mths),£7.00,https://www.matalan.co.uk/product/detail/s2812321_c359/unisex-elephant-collar-baby-grow-tiny-baby-12mths-white
